Institution,Ort,Jahr,Indikator,Wert,Bemerkung
Samowar Bezirk Meilen,Bezirk Meilen,2009,Beratungsgespräche,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2009,Stunden Beratungsarbeit,1703,
Jugendberatung Stadt Zürich,Zürich,2010,Beratungen,510,
Jugendberatung Stadt Zürich,Zürich,2010,Beratungsstunden,5210,
Jugendberatung Stadt Zürich,Zürich,2010,TelEMailBeratung,1046,
Samowar Bezirk Horgen,Bezirk Horgen,2010,Beratungsstunden,1671,Jahrsbericht auf docplayer.com gefunden
Samowar Bezirk Horgen,Bezirk Horgen,2010,Klient*innen,173,Jahrsbericht auf docplayer.com gefunden
Samowar Bezirk Meilen,Bezirk Meilen,2010,Beratungsfälle,196,
Samowar Bezirk Meilen,Bezirk Meilen,2010,Beratungsgespräche,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2010,Stunden Beratungsarbeit,1646,
Jugendberatung Stadt Zürich,Zürich,2011,Beratungen,492,
Jugendberatung Stadt Zürich,Zürich,2011,Beratungsstunden,5151,
Jugendberatung Stadt Zürich,Zürich,2011,TelEMailBeratung,959,
Samowar Bezirk Horgen,Bezirk Horgen,2011,Beratungsstunden,1718,
Samowar Bezirk Horgen,Bezirk Horgen,2011,Klient*innen,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2011,Beratungsfälle,221,
Samowar Bezirk Meilen,Bezirk Meilen,2011,Beratungsgespräche,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2011,Stunden Beratungsarbeit,1675,
JuAr Jugendberatung,Kanton Basel-Stadt,2012,Nutzungen,1944,
Jugendberatung Stadt Zürich,Zürich,2012,Beratungen,493,
Jugendberatung Stadt Zürich,Zürich,2012,Beratungsstunden,4554,
Jugendberatung Stadt Zürich,Zürich,2012,TelEMailBeratung,845,
Samowar Bezirk Horgen,Bezirk Horgen,2012,Beratungsstunden,2132,
Samowar Bezirk Horgen,Bezirk Horgen,2012,Klient*innen,182,
Samowar Bezirk Meilen,Bezirk Meilen,2012,Beratungsfälle,218,
Samowar Bezirk Meilen,Bezirk Meilen,2012,Beratungsgespräche,1455,
Samowar Bezirk Meilen,Bezirk Meilen,2012,Stunden Beratungsarbeit,1813,
JuAr Jugendberatung,Kanton Basel-Stadt,2013,Nutzungen,1902,
Jugendberatung Stadt Zürich,Zürich,2013,Beratungen,523,
Jugendberatung Stadt Zürich,Zürich,2013,Beratungsstunden,4706,
Jugendberatung Stadt Zürich,Zürich,2013,TelEMailBeratung,759,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2013,Personen in Jugendberatung,70,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2013,Stunden Jugendberatung,NA,
Samowar Bezirk Horgen,Bezirk Horgen,2013,Beratungsstunden,1994,
Samowar Bezirk Horgen,Bezirk Horgen,2013,Klient*innen,164,
Samowar Bezirk Meilen,Bezirk Meilen,2013,Beratungsfälle,202,
Samowar Bezirk Meilen,Bezirk Meilen,2013,Beratungsgespräche,1281,
Samowar Bezirk Meilen,Bezirk Meilen,2013,Stunden Beratungsarbeit,1660,
JuAr Jugendberatung,Kanton Basel-Stadt,2014,Nutzungen,1254,
Jugendberatung Stadt Zürich,Zürich,2014,Beratungen,470,
Jugendberatung Stadt Zürich,Zürich,2014,Beratungsstunden,4600,
Jugendberatung Stadt Zürich,Zürich,2014,TelEMailBeratung,868,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2014,Personen in Jugendberatung,53,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2014,Stunden Jugendberatung,NA,
Perspektive Thurgau,Kanton Thurgau,2014,Fälle 0 - 19 Jahre,NA,
Perspektive Thurgau,Kanton Thurgau,2014,Fälle 20 - 29 Jahre,NA,
Perspektive Thurgau,Kanton Thurgau,2014,Gespräche Jugendberatung,1704,
Samowar Bezirk Horgen,Bezirk Horgen,2014,Beratungsstunden,2034,
Samowar Bezirk Horgen,Bezirk Horgen,2014,Klient*innen,187,
Samowar Bezirk Meilen,Bezirk Meilen,2014,Beratungsfälle,208,
Samowar Bezirk Meilen,Bezirk Meilen,2014,Beratungsgespräche,1291,
Samowar Bezirk Meilen,Bezirk Meilen,2014,Stunden Beratungsarbeit,1760,
JuAr Jugendberatung,Kanton Basel-Stadt,2015,Nutzungen,1139,
Jugendberatung Stadt Zürich,Zürich,2015,Beratungen,463,
Jugendberatung Stadt Zürich,Zürich,2015,Beratungsstunden,4402,
Jugendberatung Stadt Zürich,Zürich,2015,TelEMailBeratung,991,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2015,Personen in Jugendberatung,94,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2015,Stunden Jugendberatung,607,
Perspektive Thurgau,Kanton Thurgau,2015,Fälle 0 - 19 Jahre,221,
Perspektive Thurgau,Kanton Thurgau,2015,Fälle 20 - 29 Jahre,214,
Perspektive Thurgau,Kanton Thurgau,2015,Gespräche Jugendberatung,1823,
Samowar Bezirk Horgen,Bezirk Horgen,2015,Beratungsstunden,1715,
Samowar Bezirk Horgen,Bezirk Horgen,2015,Klient*innen,187,
Samowar Bezirk Meilen,Bezirk Meilen,2015,Beratungsfälle,201,
Samowar Bezirk Meilen,Bezirk Meilen,2015,Beratungsgespräche,1315,
Samowar Bezirk Meilen,Bezirk Meilen,2015,Stunden Beratungsarbeit,1752,
JuAr Jugendberatung,Kanton Basel-Stadt,2016,Nutzungen,904,
Jugendberatung Stadt Zürich,Zürich,2016,Beratungen,440,
Jugendberatung Stadt Zürich,Zürich,2016,Beratungsstunden,4565,
Jugendberatung Stadt Zürich,Zürich,2016,TelEMailBeratung,989,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2016,Personen in Jugendberatung,94,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2016,Stunden Jugendberatung,667,
Perspektive Thurgau,Kanton Thurgau,2016,Fälle 0 - 19 Jahre,196,
Perspektive Thurgau,Kanton Thurgau,2016,Fälle 20 - 29 Jahre,211,
Perspektive Thurgau,Kanton Thurgau,2016,Gespräche Jugendberatung,1464,
Samowar Bezirk Horgen,Bezirk Horgen,2016,Beratungsstunden,1712,
Samowar Bezirk Horgen,Bezirk Horgen,2016,Klient*innen,180,
Samowar Bezirk Meilen,Bezirk Meilen,2016,Beratungsfälle,207,
Samowar Bezirk Meilen,Bezirk Meilen,2016,Beratungsgespräche,1273,
Samowar Bezirk Meilen,Bezirk Meilen,2016,Stunden Beratungsarbeit,1684,
JuAr Jugendberatung,Kanton Basel-Stadt,2017,Nutzungen,1022,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2017,Anzahl Fälle,152,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2017,Beratungskontakte,1458,
Jugendberatung Stadt Zürich,Zürich,2017,Beratungen,510,
Jugendberatung Stadt Zürich,Zürich,2017,Beratungsstunden,4972,
Jugendberatung Stadt Zürich,Zürich,2017,TelEMailBeratung,881,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2017,Personen in Jugendberatung,121,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2017,Stunden Jugendberatung,976,
Perspektive Thurgau,Kanton Thurgau,2017,Fälle 0 - 19 Jahre,176,
Perspektive Thurgau,Kanton Thurgau,2017,Fälle 20 - 29 Jahre,179,
Perspektive Thurgau,Kanton Thurgau,2017,Gespräche Jugendberatung,1435,
Samowar Bezirk Horgen,Bezirk Horgen,2017,Beratungsstunden,1453,
Samowar Bezirk Horgen,Bezirk Horgen,2017,Klient*innen,162,
Samowar Bezirk Meilen,Bezirk Meilen,2017,Beratungsfälle,201,
Samowar Bezirk Meilen,Bezirk Meilen,2017,Beratungsgespräche,1142,
Samowar Bezirk Meilen,Bezirk Meilen,2017,Stunden Beratungsarbeit,1644,
JuAr Jugendberatung,Kanton Basel-Stadt,2018,Nutzungen,1067,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2018,Anzahl Fälle,150,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2018,Beratungskontakte,1477,
Jugendberatung Stadt Zürich,Zürich,2018,Beratungen,485,
Jugendberatung Stadt Zürich,Zürich,2018,Beratungsstunden,4850,
Jugendberatung Stadt Zürich,Zürich,2018,TelEMailBeratung,1048,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2018,Personen in Jugendberatung,115,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2018,Stunden Jugendberatung,737,
Perspektive Thurgau,Kanton Thurgau,2018,Fälle 0 - 19 Jahre,157,
Perspektive Thurgau,Kanton Thurgau,2018,Fälle 20 - 29 Jahre,155,
Perspektive Thurgau,Kanton Thurgau,2018,Gespräche Jugendberatung,1442,
Samowar Bezirk Horgen,Bezirk Horgen,2018,Beratungsstunden,1699,
Samowar Bezirk Horgen,Bezirk Horgen,2018,Klient*innen,202,
Samowar Bezirk Meilen,Bezirk Meilen,2018,Beratungsfälle,207,
Samowar Bezirk Meilen,Bezirk Meilen,2018,Beratungsgespräche,1206,
Samowar Bezirk Meilen,Bezirk Meilen,2018,Stunden Beratungsarbeit,1862,
JuAr Jugendberatung,Kanton Basel-Stadt,2019,Nutzungen,817,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2019,Anzahl Fälle,165,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2019,Beratungskontakte,1618,
Jugendberatung Stadt Zürich,Zürich,2019,Beratungen,390,
Jugendberatung Stadt Zürich,Zürich,2019,Beratungsstunden,5095,
Jugendberatung Stadt Zürich,Zürich,2019,TelEMailBeratung,510,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2019,Personen in Jugendberatung,126,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2019,Stunden Jugendberatung,762,
Perspektive Thurgau,Kanton Thurgau,2019,Fälle 0 - 19 Jahre,167,
Perspektive Thurgau,Kanton Thurgau,2019,Fälle 20 - 29 Jahre,172,
Perspektive Thurgau,Kanton Thurgau,2019,Gespräche Jugendberatung,1741,
Samowar Bezirk Horgen,Bezirk Horgen,2019,Beratungsstunden,1698,
Samowar Bezirk Horgen,Bezirk Horgen,2019,Klient*innen,210,
Samowar Bezirk Meilen,Bezirk Meilen,2019,Beratungsfälle,210,
Samowar Bezirk Meilen,Bezirk Meilen,2019,Beratungsgespräche,1285,
Samowar Bezirk Meilen,Bezirk Meilen,2019,Stunden Beratungsarbeit,1809,
JuAr Jugendberatung,Kanton Basel-Stadt,2020,Nutzungen,843,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2020,Anzahl Fälle,179,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2020,Beratungskontakte,2007,
Jugendberatung Stadt Zürich,Zürich,2020,Beratungen,408,
Jugendberatung Stadt Zürich,Zürich,2020,Beratungsstunden,5484,
Jugendberatung Stadt Zürich,Zürich,2020,TelEMailBeratung,387,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2020,Personen in Jugendberatung,105,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2020,Stunden Jugendberatung,862,
Perspektive Thurgau,Kanton Thurgau,2020,Fälle 0 - 19 Jahre,200,
Perspektive Thurgau,Kanton Thurgau,2020,Fälle 20 - 29 Jahre,158,
Perspektive Thurgau,Kanton Thurgau,2020,Gespräche Jugendberatung,1634,
Samowar Bezirk Horgen,Bezirk Horgen,2020,Beratungsstunden,1852,
Samowar Bezirk Horgen,Bezirk Horgen,2020,Klient*innen,230,
Samowar Bezirk Horgen,Bezirk Horgen,2020,Neuanmeldungen,194,
Samowar Bezirk Meilen,Bezirk Meilen,2020,Beratungsfälle,211,
Samowar Bezirk Meilen,Bezirk Meilen,2020,Beratungsgespräche,1476,
Samowar Bezirk Meilen,Bezirk Meilen,2020,Stunden Beratungsarbeit,2128,
JuAr Jugendberatung,Kanton Basel-Stadt,2021,Nutzungen,903,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2021,Anzahl Fälle,189,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2021,Beratungskontakte,NA,
Jugendberatung Stadt Zürich,Zürich,2021,Beratungen,257,
Jugendberatung Stadt Zürich,Zürich,2021,Beratungsstunden,4212,
Jugendberatung Stadt Zürich,Zürich,2021,TelEMailBeratung,NA,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2021,Personen in Jugendberatung,113,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2021,Stunden Jugendberatung,834,
Perspektive Thurgau,Kanton Thurgau,2021,Fälle 0 - 19 Jahre,261,
Perspektive Thurgau,Kanton Thurgau,2021,Fälle 20 - 29 Jahre,156,
Perspektive Thurgau,Kanton Thurgau,2021,Gespräche Jugendberatung,1639,
Samowar Bezirk Horgen,Bezirk Horgen,2021,Beratungsstunden,2131,
Samowar Bezirk Horgen,Bezirk Horgen,2021,Klient*innen,261,
Samowar Bezirk Horgen,Bezirk Horgen,2021,Neuanmeldungen,224,
Samowar Bezirk Meilen,Bezirk Meilen,2021,Beratungsfälle,196,
Samowar Bezirk Meilen,Bezirk Meilen,2021,Beratungsgespräche,1463,
Samowar Bezirk Meilen,Bezirk Meilen,2021,Stunden Beratungsarbeit,2096,
JuAr Jugendberatung,Kanton Basel-Stadt,2022,Nutzungen,866,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2022,Anzahl Fälle,185,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2022,Beratungskontakte,NA,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2022,Personen in Jugendberatung,134,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2022,Stunden Jugendberatung,1035,
Perspektive Thurgau,Kanton Thurgau,2022,Fälle 0 - 19 Jahre,275,
Perspektive Thurgau,Kanton Thurgau,2022,Fälle 20 - 29 Jahre,145,
Perspektive Thurgau,Kanton Thurgau,2022,Gespräche Jugendberatung,1518,
Samowar Bezirk Horgen,Bezirk Horgen,2022,Beratungsstunden,1796,Die Summe der Beratungsstunden wurde ausgehend von der durchschnittlichen Anzahl Beratungsstunden je Klient*in (ist im Bericht angegeben) ausgerechnet
Samowar Bezirk Horgen,Bezirk Horgen,2022,Klient*innen,246,Die Anzahl wurde im Jahresbericht nicht ausgewiesen und musste daher aus der Grafik (Anzahl Klientinnen je Alter) ausgelesen werden
Samowar Bezirk Horgen,Bezirk Horgen,2022,Neuanmeldungen,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2022,Beratungsfälle,229,
Samowar Bezirk Meilen,Bezirk Meilen,2022,Beratungsgespräche,1291,
Samowar Bezirk Meilen,Bezirk Meilen,2022,Stunden Beratungsarbeit,2017,
Jugendberatung Stadt Zürich,Zürich,2022,Beratungen,270,
Jugendberatung Stadt Zürich,Zürich,2022,Beratungsstunden,5402,
Jugendberatung Stadt Zürich,Zürich,2022,TelEMailBeratung,NA,
JuAr Jugendberatung,Kanton Basel-Stadt,2023,Nutzungen,NA,"keine Kennzahlen im Jahresbericht"
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2023,Anzahl Fälle,181,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2023,Beratungskontakte,1538,
Jugendberatung Stadt Zürich,Zürich,2023,Beratungen,304,
Jugendberatung Stadt Zürich,Zürich,2023,Beratungsstunden,4560,
Jugendberatung Stadt Zürich,Zürich,2023,TelEMailBeratung,NA,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2023,Personen in Jugendberatung,141,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2023,Stunden Jugendberatung,906,
Perspektive Thurgau,Kanton Thurgau,2023,Fälle 0 - 19 Jahre,321,
Perspektive Thurgau,Kanton Thurgau,2023,Fälle 20 - 29 Jahre,137,
Perspektive Thurgau,Kanton Thurgau,2023,Gespräche Jugendberatung,1444,
Samowar Bezirk Horgen,Bezirk Horgen,2023,Beratungsstunden,2092,
Samowar Bezirk Horgen,Bezirk Horgen,2023,Klient*innen,NA,
Samowar Bezirk Horgen,Bezirk Horgen,2023,Neuanmeldungen,247,
Samowar Bezirk Meilen,Bezirk Meilen,2023,Beratungsfälle,209,
Samowar Bezirk Meilen,Bezirk Meilen,2023,Beratungsgespräche,1502,
Samowar Bezirk Meilen,Bezirk Meilen,2023,Stunden Beratungsarbeit,2173,
JuAr Jugendberatung,Kanton Basel-Stadt,2024,Nutzungen,NA,"Im Jahresbericht der JuAr Basel 2024 wird erwähnt, dass die Fallzahlen für neue Beratungen, Wiederaufnahmen und Kurzberatungen bei der Jugendberatung im Jahr 2024 weiterhin gestiegen sind. Eine genaue Anzahl der Beratungen wird im Jahresbericht nicht explizit genannt."
Jugendberatung Bezirk Affoltern,Bezirk Affoltern,2024,Anzahl Fälle,183,
Jugendberatung Bezirk Affoltern,Bezirk Affoltern, 2024,Beratungskontakte,1609,
Jugendberatung Stadt Zürich,Zürich,2024,Beratungen,339,
Jugendberatung Stadt Zürich,Zürich,2024,Beratungsstunden,4663,
Jugendberatung Stadt Zürich,Zürich,2024,TelEMailBeratung,NA,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2024,Personen in Jugendberatung,130,
PERSEPKTIVE Region Solothurn-Grenchen,Region Solothurn-Grenchen,2024,Stunden Jugendberatung,772,
Perspektive Thurgau,Kanton Thurgau,2024,Fälle 0 - 19 Jahre,287,
Perspektive Thurgau,Kanton Thurgau,2024,Fälle 20 - 29 Jahre,162,
Perspektive Thurgau,Kanton Thurgau,2024,Gespräche Jugendberatung,1462,
Samowar Bezirk Horgen,Bezirk Horgen,2024,Beratungsstunden,2316,
Samowar Bezirk Horgen,Bezirk Horgen,2024,Klient*innen,254,
Samowar Bezirk Horgen,Bezirk Horgen,2024,Neuanmeldungen,NA,
Samowar Bezirk Meilen,Bezirk Meilen,2024,Beratungsfälle,239,
Samowar Bezirk Meilen,Bezirk Meilen,2024,Beratungsgespräche,1502,
Samowar Bezirk Meilen,Bezirk Meilen,2024,Stunden Beratungsarbeit,2401,
